,BOBL,BUND,US10,US20,KR3,KR10,EDOLLAR,CORN,CRUDE_W,GAS_US
BOBL,1.0,0.9123036914538966,0.6308435574361093,0.6258945510346815,0.2805819019807251,0.3602594733628591,0.5874927838370628,-0.08608415822567732,-0.1191219613653449,-0.05558683929425599
BUND,0.9123036914538966,1.0,0.7587645663898396,0.7879430170498467,0.3553641850493804,0.46123676018492704,0.7060656273994831,-0.15204269202051957,-0.16581302549273078,-0.06731088946981682
US10,0.6308435574361093,0.7587645663898396,1.0,0.9240228975069,0.41595021478810446,0.5399586247507054,0.974097091537372,-0.11170869731325184,-0.25677077306229645,-0.0537552012502603
US20,0.6258945510346815,0.7879430170498467,0.9240228975069,1.0,0.40211670040705916,0.5401980850262816,0.8723587350007893,-0.12477591353750918,-0.2605295874872336,-0.10495857057424536
KR3,0.2805819019807251,0.3553641850493804,0.41595021478810446,0.40211670040705916,1.0,0.8526674478584557,0.3829664484804486,-0.16379277886387159,-0.053292244565637,-0.03800276989687508
KR10,0.3602594733628591,0.46123676018492704,0.5399586247507054,0.5401980850262816,0.8526674478584557,1.0,0.5123328498330463,-0.15685811130229585,-0.09665598880177619,-0.07906238001943833
EDOLLAR,0.5874927838370628,0.7060656273994831,0.974097091537372,0.8723587350007893,0.3829664484804486,0.5123328498330463,1.0,-0.08788338677124809,-0.2408600510926791,-0.05165446809196305
CORN,-0.08608415822567732,-0.15204269202051957,-0.11170869731325184,-0.12477591353750918,-0.16379277886387159,-0.15685811130229585,-0.08788338677124809,1.0,0.06637433394682206,-0.049184744613128606
CRUDE_W,-0.1191219613653449,-0.16581302549273078,-0.25677077306229645,-0.2605295874872336,-0.053292244565637,-0.09665598880177619,-0.2408600510926791,0.06637433394682206,1.0,0.2180837217277582
GAS_US,-0.05558683929425599,-0.06731088946981682,-0.0537552012502603,-0.10495857057424536,-0.03800276989687508,-0.07906238001943833,-0.05165446809196305,-0.049184744613128606,0.2180837217277582,1.0
