DATETIME,FX
1991-03-05,0.00743682
1991-03-06,0.00733509
1991-03-07,0.00736318
1991-03-08,0.00733509
1991-03-11,0.00733509
1991-03-12,0.00733509
1991-03-13,0.00733509
1991-03-14,0.00736318
1991-03-15,0.00733509
1991-03-18,0.00733509
1991-03-19,0.00723599
1991-03-20,0.00723599
1991-03-21,0.00726491
1991-03-22,0.00726491
1991-03-25,0.00723599
1991-03-26,0.00723599
1991-03-27,0.00723599
1991-03-28,0.00713753
1991-03-29,0.00713753
1991-04-01,0.00713753
1991-04-02,0.00716401
1991-04-03,0.00726491
1991-04-04,0.00726491
1991-04-05,0.00726491
1991-04-08,0.00726491
1991-04-09,0.00726491
1991-04-10,0.00736318
1991-04-11,0.00733509
1991-04-12,0.00736318
1991-04-15,0.00736318
1991-04-16,0.00736318
1991-04-17,0.00736318
1991-04-18,0.00733509
1991-04-19,0.00723599
1991-04-22,0.00723599
1991-04-23,0.00723599
1991-04-24,0.00726491
1991-04-25,0.00723599
1991-04-26,0.00726491
1991-04-29,0.00723599
1991-04-30,0.00726491
1991-05-01,0.00726491
1991-05-02,0.00723599
1991-05-03,0.00723599
1991-05-06,0.00723599
1991-05-07,0.00723599
1991-05-08,0.00723599
1991-05-09,0.00723599
1991-05-10,0.00723599
1991-05-13,0.00723599
1991-05-14,0.00723599
1991-05-15,0.00726491
1991-05-16,0.00726491
1991-05-17,0.00726491
1991-05-20,0.00723599
1991-05-21,0.00723599
1991-05-22,0.00726491
1991-05-23,0.00723599
1991-05-24,0.00723599
1991-05-27,0.00723599
1991-05-28,0.00723599
1991-05-29,0.00726491
1991-05-30,0.00726491
1991-05-31,0.00723599
1991-06-03,0.00723599
1991-06-04,0.00723599
1991-06-05,0.00723599
1991-06-06,0.00723599
1991-06-07,0.00723599
1991-06-10,0.00713753
1991-06-11,0.00713753
1991-06-12,0.00713753
1991-06-13,0.00713753
1991-06-14,0.00713753
1991-06-17,0.00713753
1991-06-18,0.00713753
1991-06-19,0.00713753
1991-06-20,0.00716401
1991-06-21,0.00716401
1991-06-24,0.00716401
1991-06-25,0.00716401
1991-06-26,0.00716401
1991-06-27,0.00716401
1991-06-28,0.00716401
1991-07-01,0.00726491
1991-07-02,0.00723599
1991-07-03,0.00723599
1991-07-04,0.00723599
1991-07-05,0.00723599
1991-07-08,0.00723599
1991-07-09,0.00723599
1991-07-10,0.00723599
1991-07-11,0.00723599
1991-07-12,0.00723599
1991-07-15,0.00726491
1991-07-16,0.00726491
1991-07-17,0.00726491
1991-07-18,0.00726491
1991-07-19,0.00726491
1991-07-22,0.00726491
1991-07-23,0.00726491
1991-07-24,0.00726491
1991-07-25,0.00726491
1991-07-26,0.00723599
1991-07-29,0.00723599
1991-07-30,0.00726491
1991-07-31,0.00726491
1991-08-01,0.00726491
1991-08-02,0.00726491
1991-08-05,0.00726491
1991-08-06,0.00726491
1991-08-07,0.00736318
