DATETIME,FX
1991-03-06,0.128336
1991-03-07,0.128336
1991-03-08,0.128336
1991-03-11,0.128336
1991-03-12,0.128336
1991-03-13,0.128336
1991-03-14,0.128336
1991-03-15,0.128336
1991-03-18,0.128336
1991-03-19,0.128361
1991-03-20,0.128361
1991-03-21,0.12846
1991-03-22,0.12846
1991-03-25,0.12846
1991-03-26,0.128439
1991-03-27,0.128336
1991-03-28,0.128336
1991-03-29,0.128336
1991-04-01,0.128336
1991-04-02,0.128336
1991-04-03,0.128336
1991-04-04,0.128236
1991-04-05,0.128264
1991-04-08,0.128264
1991-04-09,0.128264
1991-04-10,0.128264
1991-04-11,0.128264
1991-04-12,0.128264
1991-04-15,0.128361
1991-04-16,0.128361
1991-04-17,0.128361
1991-04-18,0.128361
1991-04-19,0.128361
1991-04-22,0.128336
1991-04-23,0.128336
1991-04-24,0.128336
1991-04-25,0.128336
1991-04-26,0.128336
1991-04-29,0.128336
1991-04-30,0.128336
1991-05-01,0.128336
1991-05-02,0.128336
1991-05-03,0.128336
1991-05-06,0.128336
1991-05-07,0.128336
1991-05-08,0.128336
1991-05-09,0.128336
1991-05-10,0.128336
1991-05-13,0.128336
1991-05-14,0.128336
1991-05-15,0.128361
1991-05-16,0.128361
1991-05-17,0.128361
1991-05-20,0.128361
1991-05-21,0.128361
1991-05-22,0.128361
1991-05-23,0.128361
1991-05-24,0.128592
1991-05-27,0.128951
1991-05-28,0.128951
1991-05-29,0.129223
1991-05-30,0.129223
1991-05-31,0.129223
1991-06-03,0.129238
1991-06-04,0.129137
1991-06-05,0.129162
1991-06-06,0.129162
1991-06-07,0.129261
1991-06-10,0.129362
1991-06-11,0.129461
1991-06-12,0.129438
1991-06-13,0.129339
1991-06-14,0.129362
1991-06-17,0.129461
1991-06-18,0.129461
1991-06-19,0.129461
1991-06-20,0.129461
1991-06-21,0.129562
1991-06-24,0.129539
1991-06-25,0.129313
1991-06-26,0.129137
1991-06-27,0.129137
1991-06-28,0.129137
1991-07-01,0.128917
1991-07-02,0.128736
1991-07-03,0.128736
1991-07-04,0.128736
1991-07-05,0.128761
1991-07-08,0.128761
1991-07-09,0.128864
1991-07-10,0.128864
1991-07-11,0.128839
1991-07-12,0.128839
1991-07-15,0.128839
1991-07-16,0.128839
1991-07-17,0.128839
1991-07-18,0.128839
1991-07-19,0.128839
1991-07-22,0.128864
1991-07-23,0.128864
1991-07-24,0.128961
1991-07-25,0.128961
1991-07-26,0.128961
1991-07-29,0.128961
1991-07-30,0.128961
1991-07-31,0.128936
1991-08-01,0.128839
1991-08-02,0.128839
1991-08-05,0.128839
1991-08-06,0.128839
1991-08-07,0.128839
1991-08-08,0.128839
1991-08-09,0.128839
1991-08-12,0.128839
1991-08-13,0.128839
1991-08-14,0.128839
1991-08-15,0.128839
1991-08-16,0.128839
1991-08-19,0.128839
1991-08-20,0.128736
1991-08-21,0.128761
1991-08-22,0.128761
1991-08-23,0.128761
1991-08-26,0.128761
1991-08-27,0.128761
1991-08-28,0.128761
1991-08-29,0.128864
1991-08-30,0.128864
1991-09-02,0.128839
1991-09-03,0.128839
1991-09-04,0.128839
1991-09-05,0.128864
1991-09-06,0.128864
1991-09-09,0.128961
1991-09-10,0.128961
1991-09-11,0.128961
1991-09-12,0.129063
1991-09-13,0.129063
1991-09-16,0.129063
1991-09-17,0.129063
1991-09-18,0.128972
1991-09-19,0.128972
1991-09-20,0.128961
1991-09-23,0.128961
1991-09-24,0.128961
1991-09-25,0.129063
1991-09-26,0.129063
1991-09-27,0.129063
1991-09-30,0.129063
1991-10-01,0.129162
1991-10-02,0.129137
1991-10-03,0.129137
1991-10-04,0.129137
1991-10-07,0.129137
1991-10-08,0.129039
1991-10-09,0.129039
1991-10-10,0.129039
1991-10-11,0.129063
1991-10-14,0.129063
1991-10-15,0.129039
1991-10-16,0.129039
1991-10-17,0.128936
1991-10-18,0.128936
1991-10-21,0.128961
1991-10-22,0.128961
1991-10-23,0.128961
1991-10-24,0.128961
1991-10-25,0.128936
1991-10-28,0.128839
1991-10-29,0.128736
1991-10-30,0.128736
1991-10-31,0.128736
1991-11-01,0.128736
1991-11-04,0.128761
1991-11-05,0.128761
1991-11-06,0.128761
1991-11-07,0.128761
1991-11-08,0.128761
1991-11-11,0.128761
1991-11-12,0.128761
1991-11-13,0.128761
1991-11-14,0.128864
1991-11-15,0.128864
1991-11-18,0.128864
1991-11-19,0.128961
1991-11-20,0.128961
1991-11-21,0.128961
1991-11-22,0.128961
1991-11-25,0.128961
1991-11-26,0.128961
1991-11-27,0.128961
1991-11-28,0.128936
1991-11-29,0.128936
1991-12-02,0.128936
1991-12-03,0.128839
1991-12-04,0.128839
1991-12-05,0.128736
1991-12-06,0.12864
1991-12-09,0.12864
1991-12-10,0.128664
1991-12-11,0.12864
1991-12-12,0.128664
1991-12-13,0.12864
1991-12-16,0.12864
1991-12-17,0.12864
1991-12-18,0.12864
1991-12-19,0.12864
