DATE_TIME,current_contract,next_contract,carry_contract
2010-08-26 00:00:00,20100900,20101200,20101200
2010-11-26 00:00:00,20101200,20110300,20110300
2011-02-23 00:00:00,20110300,20110600,20110600
2011-05-26 00:00:00,20110600,20110900,20110900
2011-08-26 00:00:00,20110900,20111200,20111200
2011-11-28 00:00:00,20111200,20120300,20120300
2012-02-24 00:00:00,20120300,20120600,20120600
2012-05-29 00:00:00,20120600,20120900,20120900
2012-08-28 00:00:00,20120900,20121200,20121200
2012-11-27 00:00:00,20121200,20130300,20130300
2013-02-25 00:00:00,20130300,20130600,20130600
2013-05-29 00:00:00,20130600,20130900,20130900
2013-09-16 00:00:02,20130900,20131200,20131200
2013-12-16 11:00:46,20131200,20140300,20140300
2014-03-14 19:34:46,20140300,20140600,20140600
2014-06-11 23:00:02,20140600,20140900,20140900
2014-09-12 23:00:02,20140900,20141200,20141200
2014-12-16 04:24:38,20141200,20150300,20150300
2015-03-10 05:52:31,20150300,20150600,20150600
2015-06-11 05:37:57,20150600,20150900,20150900
2015-09-11 23:00:02,20150900,20151200,20151200
2015-12-09 05:58:24,20151200,20160300,20160300
2016-03-11 06:29:05,20160300,20160600,20160600
2016-06-07 05:30:19,20160600,20160900,20160900
2016-09-12 08:18:19,20160900,20161200,20161200
2016-12-16 08:25:53,20161200,20170300,20170300
2017-03-07 05:47:20,20170300,20170600,20170600
2017-06-15 07:59:30,20170600,20170900,20170900
2017-09-14 05:52:33,20170900,20171200,20171200
2017-12-12 08:08:23,20171200,20180300,20180300
2017-12-13 13:54:49,20171200,20180300,20180300
2018-03-12 19:38:28,20180300,20180600,20180600
2018-06-12 11:21:15,20180600,20180900,20180900
2018-09-14 23:00:02,20180900,20181200,20181200
2018-12-10 05:53:05,20181200,20190300,20190300
2018-12-14 23:00:02,20190300,20190600,20190600
2019-06-07 23:00:02,20190600,20190900,20190900
2019-09-16 23:00:02,20190900,20191200,20191200
