DATE_TIME,current_contract,next_contract,carry_contract,
1978-01-13 23:00:00,19780300,19781100,19780100,
1978-03-29 23:00:00,19781100,19790100,19780300,FALSE
1978-11-15 23:00:00,19790100,19790300,19781100,FALSE
1979-01-12 23:00:00,19790300,19791100,19790100,FALSE
1979-03-23 23:00:00,19791100,19800100,19790300,FALSE
1979-11-15 23:00:00,19800100,19800300,19791100,FALSE
1980-01-14 23:00:00,19800300,19801100,19800100,FALSE
1980-03-31 23:00:00,19801100,19810100,19800300,FALSE
1980-11-14 23:00:00,19810100,19810300,19801100,FALSE
1981-01-13 23:00:00,19810300,19811100,19810100,FALSE
1981-03-20 23:00:00,19811100,19820100,19810300,FALSE
1981-11-16 23:00:00,19820100,19820300,19811100,FALSE
1982-01-13 23:00:00,19820300,19821100,19820100,FALSE
1982-09-15 23:00:00,19821100,19830100,19820300,FALSE
1982-11-15 23:00:00,19830100,19830300,19821100,FALSE
1983-01-13 23:00:00,19830300,19831100,19830100,FALSE
1983-03-22 23:00:00,19831100,19840100,19830300,FALSE
1983-11-15 23:00:00,19840100,19840300,19831100,FALSE
1984-01-13 23:00:00,19840300,19841100,19840100,FALSE
1984-03-21 23:00:00,19841100,19850100,19840300,FALSE
1984-11-15 23:00:00,19850100,19850300,19841100,FALSE
1985-01-14 23:00:00,19850300,19851100,19850100,FALSE
1985-03-20 23:00:00,19851100,19860100,19850300,FALSE
1985-11-15 23:00:00,19860100,19860300,19851100,FALSE
1986-01-13 23:00:00,19860300,19861100,19860100,FALSE
1986-03-19 23:00:00,19861100,19870100,19860300,FALSE
1986-11-14 23:00:00,19870100,19870300,19861100,FALSE
1987-01-13 23:00:00,19870300,19871100,19870100,FALSE
1987-03-20 23:00:00,19871100,19880100,19870300,FALSE
1987-11-16 23:00:00,19880100,19880300,19871100,FALSE
1988-01-14 23:00:00,19880300,19881100,19880100,FALSE
1988-03-22 23:00:00,19881100,19890100,19880300,FALSE
1988-11-15 23:00:00,19890100,19890300,19881100,FALSE
1989-03-28 23:00:00,19890300,19891100,19890100,FALSE
1989-04-29 23:00:00,19891100,19900100,19890300,FALSE
1989-11-15 23:00:00,19900100,19900300,19891100,FALSE
1990-01-12 23:00:00,19900300,19901100,19900100,FALSE
1990-03-21 23:00:00,19901100,19910100,19900300,FALSE
1990-11-15 23:00:00,19910100,19910300,19901100,FALSE
1991-01-14 23:00:00,19910300,19911100,19910100,FALSE
1991-03-19 23:00:00,19911100,19920100,19910300,FALSE
1991-11-15 23:00:00,19920100,19920300,19911100,FALSE
1992-01-14 23:00:00,19920300,19921100,19920100,FALSE
1992-03-20 23:00:00,19921100,19930100,19920300,FALSE
1992-11-16 23:00:00,19930100,19930300,19921100,FALSE
1993-01-13 23:00:00,19930300,19931100,19930100,FALSE
1993-03-22 23:00:00,19931100,19940100,19930300,FALSE
1993-11-15 23:00:00,19940100,19940300,19931100,FALSE
1994-01-13 23:00:00,19940300,19941100,19940100,FALSE
1994-03-22 23:00:00,19941100,19950100,19940300,FALSE
1994-11-15 23:00:00,19950100,19950300,19941100,FALSE
1995-01-13 23:00:00,19950300,19951100,19950100,FALSE
1995-03-22 23:00:00,19951100,19960100,19950300,FALSE
1995-11-15 23:00:00,19960100,19960300,19951100,FALSE
1996-01-15 23:00:00,19960300,19961100,19960100,FALSE
1996-03-20 23:00:00,19961100,19970100,19960300,FALSE
1996-11-15 23:00:00,19970100,19970300,19961100,FALSE
1997-01-13 23:00:00,19970300,19970500,19970100,FALSE
1997-03-14 23:00:00,19970500,19970700,19970300,FALSE
1997-05-15 23:00:00,19970700,19971100,19970500,FALSE
1997-07-22 23:00:00,19971100,19980100,19970700,FALSE
1997-11-14 23:00:00,19980100,19980300,19971100,FALSE
1998-01-13 23:00:00,19980300,19980500,19980100,FALSE
1998-03-16 23:00:00,19980500,19980700,19980300,FALSE
1998-05-15 23:00:00,19980700,19981100,19980500,FALSE
1998-07-22 23:00:00,19981100,19990100,19980700,FALSE
1998-11-16 23:00:00,19990100,19990300,19981100,FALSE
1999-01-13 23:00:00,19990300,19990500,19990100,FALSE
1999-03-15 23:00:00,19990500,19990700,19990300,FALSE
1999-05-14 23:00:00,19990700,19991100,19990500,FALSE
1999-07-21 23:00:00,19991100,20000100,19990700,FALSE
1999-11-15 23:00:00,20000100,20000300,19991100,FALSE
2000-01-14 23:00:00,20000300,20000500,20000100,FALSE
2000-03-15 23:00:00,20000500,20000700,20000300,FALSE
2000-05-15 23:00:00,20000700,20001100,20000500,FALSE
2000-07-20 23:00:00,20001100,20010100,20000700,FALSE
2000-11-15 23:00:00,20010100,20010300,20001100,FALSE
2001-01-12 23:00:00,20010300,20010500,20010100,FALSE
2001-03-15 23:00:00,20010500,20010700,20010300,FALSE
2001-05-15 23:00:00,20010700,20011100,20010500,FALSE
2001-07-20 23:00:00,20011100,20020100,20010700,FALSE
2001-11-15 23:00:00,20020100,20020300,20011100,FALSE
2002-01-14 23:00:00,20020300,20020500,20020100,FALSE
2002-03-15 23:00:00,20020500,20020700,20020300,FALSE
2002-05-15 23:00:00,20020700,20021100,20020500,FALSE
2002-07-22 23:00:00,20021100,20030100,20020700,FALSE
2002-11-14 23:00:00,20030100,20030300,20021100,FALSE
2003-01-13 23:00:00,20030300,20030500,20030100,FALSE
2003-03-14 23:00:00,20030500,20030700,20030300,FALSE
2003-05-14 23:00:00,20030700,20031100,20030500,FALSE
2003-07-14 23:00:00,20031100,20040100,20030700,FALSE
2003-11-14 23:00:00,20040100,20040300,20031100,FALSE
2004-01-14 23:00:00,20040300,20040500,20040100,FALSE
2004-03-12 23:00:00,20040500,20040700,20040300,FALSE
2004-05-14 23:00:00,20040700,20041100,20040500,FALSE
2004-07-14 23:00:00,20041100,20050100,20040700,FALSE
2004-11-12 23:00:00,20050100,20050300,20041100,FALSE
2005-01-13 23:00:00,20050300,20050500,20050100,FALSE
2005-03-14 23:00:00,20050500,20050700,20050300,FALSE
2005-05-13 23:00:00,20050700,20051100,20050500,FALSE
2005-07-14 23:00:00,20051100,20060100,20050700,FALSE
2005-11-14 23:00:00,20060100,20060300,20051100,FALSE
2006-01-13 23:00:00,20060300,20060500,20060100,FALSE
2006-03-14 23:00:00,20060500,20060700,20060300,FALSE
2006-05-12 23:00:00,20060700,20061100,20060500,FALSE
2006-07-14 23:00:00,20061100,20070100,20060700,FALSE
2006-11-14 23:00:00,20070100,20070300,20061100,FALSE
2007-01-12 23:00:00,20070300,20070500,20070100,FALSE
2007-03-14 23:00:00,20070500,20070700,20070300,FALSE
2007-05-14 23:00:00,20070700,20071100,20070500,FALSE
2007-07-13 23:00:00,20071100,20080100,20070700,FALSE
2007-11-14 23:00:00,20080100,20080300,20071100,FALSE
2008-01-14 23:00:00,20080300,20080500,20080100,FALSE
2008-03-14 23:00:00,20080500,20080700,20080300,FALSE
2008-05-14 23:00:00,20080700,20081100,20080500,FALSE
2008-07-14 23:00:00,20081100,20090100,20080700,FALSE
2008-11-14 23:00:00,20090100,20090300,20081100,FALSE
2009-01-13 23:00:00,20090300,20090500,20090100,FALSE
2009-03-13 23:00:00,20090500,20090700,20090300,FALSE
2009-05-14 23:00:00,20090700,20091100,20090500,FALSE
2009-07-14 23:00:00,20091100,20100100,20090700,FALSE
2009-11-13 23:00:00,20100100,20100300,20091100,FALSE
2010-01-13 23:00:00,20100300,20100500,20100100,FALSE
2010-03-12 23:00:00,20100500,20100700,20100300,FALSE
2010-05-14 23:00:00,20100700,20101100,20100500,FALSE
2010-07-14 23:00:00,20101100,20110100,20100700,FALSE
2010-11-12 23:00:00,20110100,20110300,20101100,FALSE
2011-01-13 23:00:00,20110300,20110500,20110100,FALSE
2011-03-14 23:00:00,20110500,20110700,20110300,FALSE
2011-05-13 23:00:00,20110700,20111100,20110500,FALSE
2011-07-14 23:00:00,20111100,20120100,20110700,FALSE
2011-11-14 23:00:00,20120100,20120300,20111100,FALSE
2012-01-13 23:00:00,20120300,20120500,20120100,FALSE
2012-03-14 23:00:00,20120500,20120700,20120300,FALSE
2012-05-14 23:00:00,20120700,20121100,20120500,FALSE
2012-07-13 23:00:00,20121100,20130100,20120700,FALSE
2012-11-13 23:00:00,20130100,20130300,20121100,FALSE
2013-01-08 17:00:00,20130300,20130500,20130100,FALSE
2013-03-11 14:00:00,20130500,20130700,20130300,FALSE
2013-05-06 13:00:00,20130700,20131100,20130500,FALSE
2013-07-08 14:00:00,20131100,20140100,20130700,FALSE
2013-11-13 10:00:00,20140100,20140300,20131100,FALSE
2014-01-02 14:00:00,20140300,20140500,20140100,FALSE
2014-03-06 16:00:00,20140500,20140700,20140300,FALSE
2014-05-05 17:00:00,20140700,20141100,20140500,FALSE
2014-07-03 14:00:00,20141100,20150100,20140700,FALSE
2014-11-06 15:00:00,20150100,20150300,20141100,FALSE
2015-01-09 11:00:00,20150300,20150500,20150100,FALSE
2015-03-04 14:00:00,20150500,20150700,20150300,FALSE
2015-05-06 14:00:00,20150700,20151100,20150500,FALSE
2015-07-06 14:00:00,20151100,20160100,20150700,FALSE
2015-11-06 15:00:00,20160100,20160300,20151100,FALSE
2015-12-31 14:00:00,20160300,20160500,20160100,FALSE
2016-03-01 14:00:00,20160500,20160700,20160300,FALSE
2016-05-02 15:00:00,20160700,20161100,20160500,FALSE
2016-07-05 14:00:00,20161100,20170100,20160700,FALSE
2016-11-03 14:00:00,20170100,20170300,20161100,FALSE
2017-01-04 14:00:00,20170300,20170500,20170100,FALSE
2017-03-07 16:00:00,20170500,20170700,20170300,FALSE
2017-05-02 12:00:00,20170700,20171100,20170500,FALSE
2017-07-05 14:00:00,20171100,20180100,20170700,FALSE
2017-11-03 15:00:00,20180100,20180300,20171100,FALSE
2017-12-29 14:00:00,20180300,20180500,20180100,FALSE
2018-02-28 14:00:00,20180500,20180700,20180300,FALSE
2018-05-01 12:00:00,20180700,20181100,20180500,FALSE
2018-06-29 16:00:00,20181100,20190100,20180700,FALSE
2018-11-01 13:00:00,20190100,20190300,20181100,FALSE
2019-01-08 13:00:00,20190300,20190500,20190100,FALSE
2019-03-01 15:00:00,20190500,20190700,20190300,FALSE
2019-04-30 15:00:00,20190700,20191100,20190500,FALSE
2019-07-09 14:00:00,20191100,20200100,20190700,FALSE
2019-11-07 14:00:00,20200100,20200300,20191100,FALSE
2020-01-02 15:00:00,20200300,20200500,20200100,FALSE
2020-03-10 16:00:00,20200500,20200700,20200300,FALSE
2020-05-01 13:00:00,20200700,20201100,20200500,FALSE
2020-07-10 14:00:00,20201100,20210100,20200700,FALSE
2020-11-06 14:00:00,20210100,20210300,20201100,FALSE
2020-12-31 09:00:00,20210300,20210500,20210100,FALSE
2021-03-01 14:00:00,20210500,20210700,20210300,FALSE
2021-04-30 13:00:00,20210700,20211100,20210500,FALSE
2021-06-29 01:00:00,20211100,20220100,20210700,FALSE
2021-11-05 13:00:00,20220100,20220300,20211100,FALSE
2022-01-04 15:00:00,20220300,20220500,20220100,FALSE
2022-03-02 02:00:00,20220500,20220700,20220300,FALSE
2022-05-04 16:00:00,20220700,20221100,20220500,FALSE
2022-06-30 12:00:00,20221100,20230100,20220700,FALSE
2022-11-02 11:00:00,20230100,20230300,20221100,FALSE
2023-01-05 01:00:00,20230300,20230500,20230100,FALSE
2023-03-07 15:00:00,20230500,20230700,20230300,FALSE
2023-05-01 08:00:00,20230700,20231100,20230500,FALSE
2023-07-11 12:00:00,20231100,20240100,20230700,FALSE
