DATE_TIME,current_contract,next_contract,carry_contract,
2008-12-15 23:00:00,20090100,20090200,20081200,
2009-01-14 23:00:00,20090200,20090300,20090100,FALSE
2009-02-11 23:00:00,20090300,20090400,20090200,FALSE
2009-03-13 23:00:00,20090400,20090500,20090300,FALSE
2009-04-14 23:00:00,20090500,20090600,20090400,FALSE
2009-05-14 23:00:00,20090600,20090700,20090500,FALSE
2009-06-12 23:00:00,20090700,20090800,20090600,FALSE
2009-07-14 23:00:00,20090800,20090900,20090700,FALSE
2009-08-14 23:00:00,20090900,20091000,20090800,FALSE
2009-09-14 23:00:00,20091000,20091100,20090900,FALSE
2009-10-14 23:00:00,20091100,20091200,20091000,FALSE
2009-11-13 23:00:00,20091200,20100100,20091100,FALSE
2009-12-14 23:00:00,20100100,20100200,20091200,FALSE
2010-01-14 23:00:00,20100200,20100300,20100100,FALSE
2010-02-11 23:00:00,20100300,20100400,20100200,FALSE
2010-03-15 23:00:00,20100400,20100500,20100300,FALSE
2010-04-13 23:00:00,20100500,20100600,20100400,FALSE
2010-05-14 23:00:00,20100600,20100700,20100500,FALSE
2010-06-14 23:00:00,20100700,20100800,20100600,FALSE
2010-07-14 23:00:00,20100800,20100900,20100700,FALSE
2010-08-13 23:00:00,20100900,20101000,20100800,FALSE
2010-09-13 23:00:00,20101000,20101100,20100900,FALSE
2010-10-14 23:00:00,20101100,20101200,20101000,FALSE
2010-11-12 23:00:00,20101200,20110100,20101100,FALSE
2010-12-14 23:00:00,20110100,20110200,20101200,FALSE
2011-01-14 23:00:00,20110200,20110300,20110100,FALSE
2011-02-11 23:00:00,20110300,20110400,20110200,FALSE
2011-03-14 23:00:00,20110400,20110500,20110300,FALSE
2011-04-13 23:00:00,20110500,20110600,20110400,FALSE
2011-05-13 23:00:00,20110600,20110700,20110500,FALSE
2011-06-13 23:00:00,20110700,20110800,20110600,FALSE
2011-07-14 23:00:00,20110800,20110900,20110700,FALSE
2011-08-15 23:00:00,20110900,20111000,20110800,FALSE
2011-09-13 23:00:00,20111000,20111100,20110900,FALSE
2011-10-14 23:00:00,20111100,20111200,20111000,FALSE
2011-11-14 23:00:00,20111200,20120100,20111100,FALSE
