DATETIME,PRICE,CARRY,CARRY_CONTRACT,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2013-11-26 04:32:41,105.505,,20140300,20131200,,20140300
2013-11-26 23:00:00,105.52,105.1,20140300,20131200,105.1,20140300
2013-11-27 04:32:39,105.545,,20140300,20131200,,20140300
2013-11-27 23:00:00,105.49,105.225,20140300,20131200,105.225,20140300
2013-11-28 04:33:02,105.435,,20140300,20131200,,20140300
2013-11-28 23:00:00,105.44,,20140300,20131200,,20140300
2013-11-29 04:33:28,105.405,105.09,20140300,20131200,105.09,20140300
2013-11-29 23:00:00,105.38,,20140300,20131200,,20140300
2013-12-02 23:00:00,105.3,105.0,20140300,20131200,105.0,20140300
2013-12-03 04:34:35,105.325,105.085,20140300,20131200,105.085,20140300
2013-12-03 23:00:00,105.31,,20140300,20131200,,20140300
2013-12-04 04:34:23,105.395,105.075,20140300,20131200,105.075,20140300
2013-12-04 23:00:00,105.35,105.16,20140300,20131200,105.16,20140300
2013-12-05 04:34:24,105.325,105.115,20140300,20131200,105.115,20140300
2013-12-05 23:00:00,105.32,105.05,20140300,20131200,105.05,20140300
2013-12-06 04:34:19,105.305,105.075,20140300,20131200,105.075,20140300
2013-12-06 23:00:00,105.37,105.08,20140300,20131200,105.08,20140300
2013-12-09 23:00:00,105.51,105.26,20140300,20131200,105.26,20140300
2013-12-10 10:48:11,,,20140300,20131200,,20140300
2013-12-10 23:00:00,105.52,105.25,20140300,20131200,105.25,20140300
2013-12-11 04:33:28,105.495,105.265,20140300,20131200,105.265,20140300
2013-12-11 23:00:00,105.45,105.22,20140300,20131200,105.22,20140300
2013-12-12 04:33:31,105.435,105.195,20140300,20131200,105.195,20140300
2013-12-12 23:00:00,105.49,105.23,20140300,20131200,105.23,20140300
2013-12-13 04:33:41,105.595,105.335,20140300,20131200,105.335,20140300
2013-12-13 23:00:00,105.66,105.4,20140300,20131200,105.4,20140300
2013-12-16 04:33:37,105.805,105.535,20140300,20131200,105.535,20140300
2013-12-16 04:33:38,105.805,105.535,20140300,20131200,105.535,20140300
2013-12-16 04:33:39,105.535,,20140600,20140300,,20140600
2013-12-16 23:00:00,105.58,,20140600,20140300,,20140600
2013-12-17 04:31:55,105.655,,20140600,20140300,,20140600
2013-12-17 23:00:00,105.67,,20140600,20140300,,20140600
2013-12-18 04:31:54,105.655,,20140600,20140300,,20140600
2013-12-18 23:00:00,105.58,,20140600,20140300,,20140600
2013-12-19 04:31:57,105.535,,20140600,20140300,,20140600
2013-12-19 23:00:00,105.57,,20140600,20140300,,20140600
2013-12-20 23:00:00,105.64,,20140600,20140300,,20140600
2013-12-23 23:00:00,105.66,,20140600,20140300,,20140600
2013-12-24 04:32:02,105.655,,20140600,20140300,,20140600
