DATETIME,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT,PRICE,FORWARD,CARRY
1988-10-17 00:00:00,198903,198906,198906,97.515625,97.234375,97.234375
1988-10-18 00:00:00,198903,198906,198906,97.625,97.34375,97.34375
1988-10-19 00:00:00,198903,198906,198906,97.421875,97.171875,97.171875
1988-10-20 00:00:00,198903,198906,198906,97.484375,97.234375,97.234375
1988-10-21 00:00:00,198903,198906,198906,97.40625,97.15625,97.15625
1988-10-24 00:00:00,198903,198906,198906,97.4375,97.1875,97.1875
1988-10-25 00:00:00,198903,198906,198906,97.5,97.25,97.25
1988-10-26 00:00:00,198903,198906,198906,97.71875,97.46875,97.46875
1988-10-27 00:00:00,198903,198906,198906,98.0,97.75,97.75
1988-10-28 00:00:00,198903,198906,198906,98.0625,97.8125,97.8125
1988-10-31 00:00:00,198903,198906,198906,98.15625,97.890625,97.890625
1988-11-01 00:00:00,198903,198906,198906,98.109375,97.890625,97.890625
1988-11-02 00:00:00,198903,198906,198906,97.9375,97.71875,97.71875
1988-11-03 00:00:00,198903,198906,198906,98.078125,97.859375,97.859375
1988-11-04 00:00:00,198903,198906,198906,97.40625,97.1875,97.1875
1988-11-07 00:00:00,198903,198906,198906,97.171875,96.953125,96.953125
1988-11-08 00:00:00,198903,198906,198906,97.140625,96.921875,96.921875
1988-11-09 00:00:00,198903,198906,198906,97.03125,96.8125,96.8125
1988-11-10 00:00:00,198903,198906,198906,97.0625,96.90625,96.90625
1988-11-11 00:00:00,198903,198906,198906,96.890625,96.734375,96.734375
1988-11-14 00:00:00,198903,198906,198906,96.96875,96.8125,96.8125
1988-11-15 00:00:00,198903,198906,198906,96.875,96.78125,96.78125
1988-11-16 00:00:00,198903,198906,198906,96.5,96.375,96.375
1988-11-17 00:00:00,198903,198906,198906,96.40625,96.3125,96.3125
1988-11-18 00:00:00,198903,198906,198906,96.390625,96.3125,96.3125
1988-11-21 00:00:00,198903,198906,198906,96.328125,96.28125,96.28125
1988-11-22 00:00:00,198903,198906,198906,96.140625,96.09375,96.09375
1988-11-23 00:00:00,198903,198906,198906,96.109375,96.0625,96.0625
1988-11-25 00:00:00,198903,198906,198906,95.6875,95.65625,95.65625
1988-11-28 00:00:00,198903,198906,198906,95.765625,95.796875,95.796875
1988-11-29 00:00:00,198903,198906,198906,95.90625,95.9375,95.9375
1988-11-30 00:00:00,198903,198906,198906,96.34375,96.328125,96.328125
1988-12-01 00:00:00,198903,198906,198906,96.390625,96.328125,96.328125
1988-12-02 00:00:00,198903,198906,198906,95.5625,95.515625,95.515625
1988-12-05 00:00:00,198903,198906,198906,95.734375,95.703125,95.703125
1988-12-06 00:00:00,198903,198906,198906,96.5,96.46875,96.46875
1988-12-07 00:00:00,198903,198906,198906,96.28125,96.25,96.25
1988-12-08 00:00:00,198903,198906,198906,96.03125,96.015625,96.015625
1988-12-09 00:00:00,198903,198906,198906,95.828125,95.828125,95.828125
1988-12-12 00:00:00,198903,198906,198906,95.75,95.75,95.75
1988-12-13 00:00:00,198903,198906,198906,95.5,95.5,95.5
1988-12-14 00:00:00,198903,198906,198906,95.34375,95.34375,95.34375
1988-12-15 00:00:00,198903,198906,198906,95.25,95.25,95.25
