DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2022-05-02 23:00:00,2517.8,20220900,,20220600,2517.8,20220900
2022-05-03 14:30:00,,20220900,2516.1,20220600,,20220900
2022-05-03 15:00:00,,20220900,2519.1,20220600,,20220900
2022-05-03 16:00:00,,20220900,2539.6,20220600,,20220900
2022-05-03 17:00:00,,20220900,2536.2,20220600,,20220900
2022-05-03 18:00:00,,20220900,2542.0,20220600,,20220900
2022-05-03 19:00:00,,20220900,2533.0,20220600,,20220900
2022-05-03 20:00:00,,20220900,2534.7,20220600,,20220900
2022-05-03 21:00:00,,20220900,2536.8,20220600,,20220900
2022-05-03 23:00:00,2542.3,20220900,,20220600,2542.3,20220900
2022-05-04 14:30:00,,20220900,2534.9,20220600,,20220900
2022-05-04 15:00:00,,20220900,2528.2,20220600,,20220900
2022-05-04 16:00:00,,20220900,2522.2,20220600,,20220900
2022-05-04 17:00:00,,20220900,2537.7,20220600,,20220900
2022-05-04 18:00:00,,20220900,2537.1,20220600,,20220900
2022-05-04 19:00:00,,20220900,2529.3,20220600,,20220900
2022-05-04 20:00:00,2600.0,20220900,2606.2,20220600,2600.0,20220900
2022-05-04 21:00:00,2600.0,20220900,2599.3,20220600,2600.0,20220900
2022-05-04 23:00:00,2614.0,20220900,,20220600,2614.0,20220900
2022-05-05 14:30:00,,20220900,2566.5,20220600,,20220900
2022-05-05 15:00:00,,20220900,2529.7,20220600,,20220900
2022-05-05 16:00:00,,20220900,2498.2,20220600,,20220900
2022-05-05 17:00:00,,20220900,2513.9,20220600,,20220900
2022-05-05 18:00:00,,20220900,2507.0,20220600,,20220900
2022-05-05 19:00:00,,20220900,2504.8,20220600,,20220900
2022-05-05 20:00:00,,20220900,2509.9,20220600,,20220900
2022-05-05 21:00:00,,20220900,2513.6,20220600,,20220900
2022-05-05 23:00:00,2517.0,20220900,,20220600,2517.0,20220900
2022-05-06 14:30:00,,20220900,2449.3,20220600,,20220900
2022-05-06 15:00:00,,20220900,2486.0,20220600,,20220900
2022-05-06 16:00:00,,20220900,2471.0,20220600,,20220900
2022-05-06 17:00:00,,20220900,2499.7,20220600,,20220900
