Product,Instrument,Execution_cost_vol,Holding_cost_vol,Min_size
Dated spreadbet,BUND,0.0028254973,0.0226039783,2212
Dated spreadbet,CORN,0.0101147826,0.1011478255,205.9691666667
Dated spreadbet,CRUDE,0.0022644928,0.0543478261,5520
Dated spreadbet,EDOLLAR,0.0152887666,0.1223101326,218.025
Dated spreadbet,EURGBP,0.004325174,2.77763467605478E-05,3371.7333333333
Dated spreadbet,EURIBOR,0.0245972608,0.1967780868,127.0466666667
Dated spreadbet,EUROSTX,0.0029550827,0.0236406619,1410
Dated spreadbet,EURUSD,0.0063984439,4.32327290435399E-05,3256
Dated spreadbet,FTSE,0.0016233766,0.012987013,5133.3333333333
Dated spreadbet,GAS_US,0.0187766629,0.4506399087,2219.0666666667
Dated spreadbet,GBPUSD,0.0048481558,2.57234498770433E-05,3867.45
Dated spreadbet,GILT,0.0025826446,0.020661157,2420
Dated spreadbet,GOLD,0.0021100593,0.0168804743,592.4004166667
Dated spreadbet,LEANHOG,0.0038218376,0.0535057257,8176.695
Dated spreadbet,LIBOR,0.0214138876,0.171311101,145.9333333333
Dated spreadbet,NASDAQ,0.0011430052,0.0091440415,5468.0416666667
Dated spreadbet,NZDUSD,0.0051514527,3.58361927628809E-05,2426.5
Dated spreadbet,PLATINUM,0.0073635317,0.0589082533,565.8516666667
Dated spreadbet,SHATZ,0.023091133,0.184729064,135.3333333333
Dated spreadbet,SP500,0.0011505891,0.0092047128,1810.6666666667
Dated spreadbet,US10,0.0055285272,0.0442282176,1507.3333333333
Dated spreadbet,US2,0.0174703005,0.1397624039,238.5
Dated spreadbet,USDJPY,0.0062937063,4.11951684678957E-05,2979.1666666667
Dated spreadbet,V2X,0.0068668113,0.1648034719,30.3391666667
Dated spreadbet,VIX,0.0095473939,0.2291374526,25.8360208333
Future,AUDUSD,0.0009170946,0.0073367572,40344.8
Future,BITCOIN,0.0004967238,0.0039737906,167598.16
Future,BUND,0.0011301989,0.0090415913,38931.2
Future,CORN,0.0005057391,0.0010114783,15241.7183333333
Future,CRUDE,0.0004528986,0.0009057971,81696
Future,EDOLLAR,0.0055421779,0.0443374231,8066.925
Future,EURGBP,0.0004078021,0.003262417,84293.3333333333
Future,EURIBOR,0.0095109409,0.0760875269,5590.0533333333
Future,EUROSTX,0.0017730496,0.0141843972,24816
Future,EURUSD,0.0004222973,0.0033783784,60236
Future,FTSE,0.0002840909,0.0022727273,102666.666666667
Future,GAS_US,0.0011265998,0.0270383945,32842.1866666667
Future,GBPUSD,0.0004417209,0.0035337669,35773.9125
Future,GILT,0.0010330579,0.0082644628,48400
Future,GOLD,0.0004220119,0.0033760949,87675.2616666667
Future,JPYUSD,0.000991453,0.0079316239,45093.75
Future,LEANHOG,0.0007643675,0.001528735,48406.0344
Future,LIBOR,0.0094221106,0.0753768844,3648.3333333333
Future,MXPUSD,0.000973439,0.0077875122,22172.25
Future,NASDAQ,0.0001333506,0.0010668048,161854.033333333
Future,NZDUSD,0.0025757264,0.0206058108,35912.2
Future,PLATINUM,0.0005154472,0.0041235777,41873.0233333333
Future,SHATZ,0.0107758621,0.0862068966,2381.8666666667
Future,SP500,0.0003356481,0.0026851852,133200
Future,US10,0.0024360073,0.0194880584,22308.5333333333
Future,US2,0.0076978512,0.0615828092,7059.6
Future,V2X,0.0048067679,0.0384541434,5339.6933333333
Future,VIX,0.003102903,0.024823224,51672.0416666667
Spot FX,AUDUSD,0.0028735632,0.2298850575,536.5
Spot FX,EURGBP,0.0026939655,0.2155172414,773.3333333333
Spot FX,EURUSD,0.0037878788,0.303030303,407
Spot FX,GBPUSD,0.0036549708,0.2923976608,421.8
Spot FX,JPYUSD,0.0038461538,0.3076923077,400.8333333333
Spot FX,MXPUSD,0.0017730496,0.1418439716,869.5
Spot FX,NZDUSD,0.0029620853,0.2369668246,520.4666666667
