Instrument,SpreadCost
SWISSLEAD,7
TECDAX,1.9
TECH60_small,0
THB,0.011
TIN_LME,12000
TOPIX,1.6
TOPIX30,1.5
TOPIX_Large,0.27
TSE60,0.061
TSX,0
TWD,0.0093
TWD-mini,0.00015
UMBS-20,0
UMBS-25,0.13
UMBS-30,0.054
UMBS-35,0.054
UMBS-40,0.052
UMBS-45,0.054
UMBS-50,0.049
URANIUM,0
US-BIOTECH,2.6
US-DISCRETE,0.38
US-ENERGY,0.28
US-FINANCE,0.11
US-HEALTH,0.3
US-INDUSTRY,0.21
US-INSURE,1.3
US-MATERIAL,0.3
US-OILGAS,1.8
US-PROPERTY,0.088
US-REALESTATE,0.098
US-REGBANK,0.5
US-RETAIL,1.8
US-SEMICONDUCTOR,1.9
US-STAPLES,0.16
US-TECH,0.35
US-UTILS,0.17
US10,0.008
US10U,0.0081
US10Y_micro,0.00088
US10Y_small,0
US2,0.002
US20,0.016
US20-new,0.072
US2Y_micro,0.0045
US2Y_small,0
US3,0.0033
US30,0.016
US30Y_micro,0.0042
US30Y_small,0
US5,0.0039
US5Y_micro,1.3
USDCAD_micro,0.0017
USDCHF_micro,0.0012
USDCNH-CME,0.0005
USDCNH-HK,0.00036
USDCNH-SGX_mini,0.00053
USDINR,0
USDKRW,1.6
USDMXP,0
USD_small,0
USIRS10,0.027
USIRS10ERIS,0
USIRS10_ICE,0
USIRS12ERIS,0
USIRS15ERIS,0
USIRS2,0
USIRS20ERIS,0
USIRS2ERIS,0.007
USIRS2_ICE,0
USIRS30,0.09375
USIRS3ERIS,0
USIRS4ERIS,0
USIRS5,0.017
USIRS5ERIS,0.012
USIRS5ERIS_SOFR,0.012
USIRS5_ICE,0
USIRS7ERIS,0
V2X,0.026
VHANG,0
VIX,0.025
VIX_mini,0.033
VNKI,0.28
VOLQ,0
WATER-CALI,4
WHEAT,0.23
WHEAT-ASX,0
WHEAT_ICE,0.7
WHEAT_mini,0.3
WHEY,1.1
WTI_small,0
YENEUR,0.011
YENEUR-ICE,1.9
ZAR,2.30E-05
ZINC_LME,1.8
