Instrument,Description,Pointsize,Currency,AssetClass,PerBlock,Percentage,PerTrade,Region
600519.SH,贵州茅台,1,CNY,Equity,0,0.00025,0.001,CN
000858.SZ,五粮液,1,CNY,Equity,0,0.00025,0.001,CN
600036.SH,招商银行,1,CNY,Equity,0,0.00025,0.001,CN
601318.SH,中国平安,1,CNY,Equity,0,0.00025,0.001,CN
000333.SZ,美的集团,1,CNY,Equity,0,0.00025,0.001,CN
000651.SZ,格力电器,1,CNY,Equity,0,0.00025,0.001,CN
600887.SH,伊利股份,1,CNY,Equity,0,0.00025,0.001,CN
002415.SZ,海康威视,1,CNY,Equity,0,0.00025,0.001,CN
600276.SH,恒瑞医药,1,CNY,Equity,0,0.00025,0.001,CN
300750.SZ,宁德时代,1,CNY,Equity,0,0.00025,0.001,CN
002594.SZ,比亚迪,1,CNY,Equity,0,0.00025,0.001,CN
688981.SH,中芯国际,1,CNY,Equity,0,0.00025,0.001,CN
002230.SZ,科大讯飞,1,CNY,Equity,0,0.00025,0.001,CN
300059.SZ,东方财富,1,CNY,Equity,0,0.00025,0.001,CN
600703.SH,三安光电,1,CNY,Equity,0,0.00025,0.001,CN
002475.SZ,立讯精密,1,CNY,Equity,0,0.00025,0.001,CN
300124.SZ,汇川技术,1,CNY,Equity,0,0.00025,0.001,CN
688041.SH,海光信息,1,CNY,Equity,0,0.00025,0.001,CN
601398.SH,工商银行,1,CNY,Equity,0,0.00025,0.001,CN
601288.SH,农业银行,1,CNY,Equity,0,0.00025,0.001,CN
600030.SH,中信证券,1,CNY,Equity,0,0.00025,0.001,CN
601166.SH,兴业银行,1,CNY,Equity,0,0.00025,0.001,CN
600690.SH,海尔智家,1,CNY,Equity,0,0.00025,0.001,CN
000568.SZ,泸州老窖,1,CNY,Equity,0,0.00025,0.001,CN
600809.SH,山西汾酒,1,CNY,Equity,0,0.00025,0.001,CN
002304.SZ,洋河股份,1,CNY,Equity,0,0.00025,0.001,CN
601857.SH,中国石油,1,CNY,Equity,0,0.00025,0.001,CN
600028.SH,中国石化,1,CNY,Equity,0,0.00025,0.001,CN
601088.SH,中国神华,1,CNY,Equity,0,0.00025,0.001,CN
600900.SH,长江电力,1,CNY,Equity,0,0.00025,0.001,CN
600000.SH,浦发银行,1,CNY,Equity,0,0.00025,0.001,CN
600009.SH,上海机场,1,CNY,Equity,0,0.00025,0.001,CN
600010.SH,包钢股份,1,CNY,Equity,0,0.00025,0.001,CN
600011.SH,华能国际,1,CNY,Equity,0,0.00025,0.001,CN
600015.SH,华夏银行,1,CNY,Equity,0,0.00025,0.001,CN
600016.SH,民生银行,1,CNY,Equity,0,0.00025,0.001,CN
600018.SH,上港集团,1,CNY,Equity,0,0.00025,0.001,CN
600019.SH,宝钢股份,1,CNY,Equity,0,0.00025,0.001,CN
600025.SH,华能水电,1,CNY,Equity,0,0.00025,0.001,CN
600031.SH,三一重工,1,CNY,Equity,0,0.00025,0.001,CN
600048.SH,保利发展,1,CNY,Equity,0,0.00025,0.001,CN
600050.SH,中国联通,1,CNY,Equity,0,0.00025,0.001,CN
510050.SH,上证50ETF,1,CNY,ETF,0,0.00025,0,CN
510300.SH,沪深300ETF华泰,1,CNY,ETF,0,0.00025,0,CN
510330.SH,沪深300ETF华夏,1,CNY,ETF,0,0.00025,0,CN
510500.SH,中证500ETF,1,CNY,ETF,0,0.00025,0,CN
159915.SZ,创业板ETF,1,CNY,ETF,0,0.00025,0,CN
