index,0,1,2
1970-06-15,0.0,0.0,0.0
1970-06-16,0.0,0.0,0.0
1970-06-17,0.0,0.0,0.0
1970-06-18,0.0,0.0,0.0
1970-06-19,0.0,0.0,0.0
1970-06-22,0.0,0.0,0.0
1970-06-23,0.0,0.0,0.0
1970-06-24,0.0,0.0,0.0
1970-06-25,0.0,0.0,0.0
1970-06-26,0.0,0.0,0.0
1970-06-29,0.0,0.0,0.0
1970-06-30,0.0,0.0,0.0
1970-07-01,0.0,0.0,0.0
1970-07-02,0.0,0.0,0.0
1970-07-03,0.0,0.0,0.0
1970-07-06,0.0,0.0,0.0
1970-07-07,0.0,0.0,0.0
1970-07-08,0.0,0.0,0.0
1970-07-09,-27.425632402240947,0.0,0.0
1970-07-10,1786.3690352454184,0.0,0.0
1970-07-13,-10165.395829705738,0.0,0.0
1970-07-14,-6437.342458790512,0.0,0.0
1970-07-15,-5474.7607058301355,0.0,0.0
1970-07-16,2789.210239979302,0.0,0.0
1970-07-17,-3425.7449531389643,0.0,0.0
1970-07-20,-461.73209909879085,0.0,0.0
1970-07-21,-1080.062469207625,0.0,0.0
1970-07-22,4237.635289670866,0.0,0.0
1970-07-23,-6979.601824202622,0.0,0.0
1970-07-24,-2307.006945792345,0.0,0.0
1970-07-27,23233.944243448495,0.0,0.0
1970-07-28,28624.55138366203,0.0,0.0
1970-07-29,-16614.469441125897,0.0,0.0
1970-07-30,-1772.129804307722,0.0,0.0
1970-07-31,5120.698581608706,-17.304988003637717,0.0
1970-08-03,-26538.648980361406,-6950.707450134369,0.0
1970-08-04,13957.15276812467,4013.4894405590303,0.0
1970-08-05,-25315.739694235803,-8136.167304130831,0.0
1970-08-06,-11593.360347433556,-3652.578402179959,0.0
1970-08-07,48080.06082971412,15745.174712431135,0.0
1970-08-10,-37391.82171421254,-13350.12427269152,0.0
1970-08-11,7966.509255514355,3466.521263073412,0.0
1970-08-12,12974.644672163997,6412.665326368562,0.0
1970-08-13,-4516.466591175241,-2833.7203994606843,0.0
1970-08-14,19666.13574316603,17490.223403287877,0.0
1970-08-17,4464.1771360643015,5510.704408855574,0.0
1970-08-18,2406.8770393078094,5192.374147359389,0.0
1970-08-19,-1716.294644627031,-4308.594992023777,0.0
1970-08-20,-3628.0629781889043,-7643.921080856389,0.0
1970-08-21,2385.676471824116,4651.31046128341,0.0
1970-08-24,4395.6855584862615,11769.67915884603,0.0
1970-08-25,1897.5747941363047,6879.4398506142015,0.0
1970-08-26,-2856.381910861563,-12634.651989757498,0.0
1970-08-27,-1923.48469198716,-9712.238885449813,0.0
1970-08-28,3189.6514382247096,8337.82611348074,0.0
1970-08-31,-82.27689720672286,-51.91496401091317,0.0
1970-09-01,-2253.061651530836,-5634.848736422482,0.0
1970-09-02,3534.483691031202,7120.313321809173,0.0
1970-09-03,2967.7857816034966,5181.1554565452925,0.0
1970-09-04,-27.425632402240947,-17.304988003637717,0.0
1970-09-07,0.0,0.0,0.0
1970-09-08,6196.267114407949,7793.7556258976865,0.0
1970-09-09,-2703.734775042051,-2906.113116072996,0.0
1970-09-10,-8763.973397315089,-9250.148668935019,0.0
1970-09-11,-3825.56649830121,-4612.818505630967,0.0
1970-09-14,-6384.121460392167,-9364.509201950124,0.0
1970-09-15,-9853.033501027085,-19015.4458604951,-12.804927632075275
1970-09-16,3297.1875951775496,7361.402294254792,4894.46070451714
1970-09-17,-27.425632402240947,-17.304988003637717,-12.804927632075275
1970-09-18,4815.688101477964,-5576.135885235113,-5586.7918265254775
1970-09-21,-2215.9416140525686,1158.3658554990939,1269.9545456054057
1970-09-22,-3378.63953853658,1365.0438425932239,1751.5985971695668
1970-09-23,6030.833817847635,-1719.936387194694,-2541.735590767779
1970-09-24,18128.587976787127,-3696.439800222979,-6467.4869872807385
1970-09-25,-3458.226191297184,554.3155100114949,1082.031372070147
1970-09-28,-3100.290149734946,416.0291607573695,843.6740253375136
1970-09-29,40811.62765110069,-2783.232777850495,-9652.380484833637
1970-09-30,41365.174660344754,-673.4108673173952,-8848.446488102112
1970-10-01,-38214.12239640724,-849.4475250209192,8019.63996018434
1970-10-02,-10964.35564474657,-1053.0833862005622,1956.275754081934
1970-10-05,20106.79544116447,4234.152513218228,-3160.6192676339647
1970-10-06,-36348.56420844511,-11134.378136778561,4819.08186469179
1970-10-07,-10031.174089534137,-3685.2666125717506,1303.6213327563573
1970-10-08,1652.678772937425,686.1508198245581,-223.41880907390836
1970-10-09,3926.5306758489555,1804.3160381074194,-456.27089816189414
1970-10-12,0.0,0.0,0.0
1970-10-13,27143.999971829362,13512.792956505436,-3024.6547885293085
1970-10-14,-20874.677054192096,-11812.995918063938,1989.054446866544
1970-10-15,-6435.599863703832,-3813.98179182689,583.5705651652031
1970-10-16,9215.942655679268,6163.373825739969,-717.6015297139572
1970-10-19,16929.550172399217,12911.81912440876,-1186.5648779790386
1970-10-20,-3932.222502701279,-3418.0607191689805,215.82605628685891
1970-10-21,2221.794199362943,2398.7122512952883,-99.80667617786582
1970-10-22,-3116.6642495923315,-3889.9733025166956,10.18910605844952
1970-10-23,-26321.53202447447,-37705.78833824747,-804.5485607283166
1970-10-26,-12322.312498357394,-22090.12998421229,-913.9325074898658
1970-10-27,1339.4739013150945,3904.894216932662,206.11954587181776
1970-10-28,884.8370895728175,8395.781158717678,544.6901841982175
1970-10-29,-440.9601080203609,3993.247586367849,296.86200079467864
1970-10-30,2928.0704077309592,-9324.832104236613,-786.0728802784897
1970-11-02,-1491.6304775975332,3806.2790426626966,338.07124845596803
