DATETIME,USA_TR
31/12/69,100
30/01/70,92.886
27/02/70,98.13
31/03/70,98.729
30/04/70,90.2
29/05/70,85.125
30/06/70,81.667
31/07/70,87.823
31/08/70,91.445
30/09/70,94.574
30/10/70,93.91
30/11/70,99.08
31/12/70,104.83
29/01/71,109.712
26/02/71,110.885
31/03/71,115.446
30/04/71,119.987
31/05/71,115.381
30/06/71,116.229
30/07/71,112.147
31/08/71,116.828
30/09/71,115.434
29/10/71,111.371
30/11/71,111.897
31/12/71,118.976
31/01/72,121.455
29/02/72,124.948
31/03/72,126.991
28/04/72,127.288
31/05/72,127.239
30/06/72,125.054
31/07/72,124.441
31/08/72,129.073
29/09/72,129.375
31/10/72,131.162
30/11/72,136.315
29/12/72,138.685
31/01/73,135.496
28/02/73,129.271
30/03/73,127.862
30/04/73,123.065
31/05/73,121.224
29/06/73,121.493
31/07/73,126.387
31/08/73,122.291
28/09/73,126.776
31/10/73,127.435
30/11/73,114.036
31/12/73,116.157
31/01/74,114.282
28/02/74,114.27
29/03/74,111.59
30/04/74,107.411
31/05/74,104.2
28/06/74,102.561
31/07/74,94.53
30/08/74,86.081
30/09/74,76.191
31/10/74,89.746
29/11/74,85.702
31/12/74,84.012
31/01/75,94.945
28/02/75,100.942
31/03/75,103.442
30/04/75,108.144
30/05/75,113.121
30/06/75,118.595
31/07/75,110.687
29/08/75,108.301
30/09/75,104.554
31/10/75,111.787
28/11/75,115.207
31/12/75,114.104
30/01/76,127.461
27/02/76,126.193
31/03/76,130.651
30/04/76,129.331
31/05/76,127.993
30/06/76,133.733
30/07/76,133.06
31/08/76,132.995
30/09/76,136.431
29/10/76,133.951
30/11/76,133.468
31/12/76,140.63
31/01/77,133.864
28/02/77,131.223
31/03/77,129.807
29/04/77,130.303
31/05/77,127.953
30/06/77,134.267
29/07/77,132.697
31/08/77,130.304
30/09/77,130.472
31/10/77,125.16
30/11/77,128.508
30/12/77,129.353
31/01/78,121.914
28/02/78,119.291
31/03/78,122.298
28/04/78,133.96
31/05/78,134.608
30/06/78,132.576
31/07/78,140.702
31/08/78,144.507
29/09/78,143.978
31/10/78,131.816
30/11/78,134.563
29/12/78,137.066
31/01/79,143.397
28/02/79,138.508
30/03/79,146.444
30/04/79,146.503
31/05/79,143.722
29/06/79,149.302
31/07/79,151.002
31/08/79,158.52
28/09/79,158.296
