DATETIME,USA_TR
31/10/79,148.176
30/11/79,154.339
31/12/79,156.871
31/01/80,166.343
29/02/80,164.679
31/03/80,150.127
30/04/80,156.657
30/05/80,164.213
30/06/80,169.553
31/07/80,180.816
29/08/80,182.07
30/09/80,186.663
31/10/80,191.383
28/11/80,211.35
31/12/80,204.002
30/01/81,196.434
27/02/81,200.605
31/03/81,207.305
30/04/81,203.476
29/05/81,202.915
30/06/81,202.518
31/07/81,204.017
31/08/81,192.382
30/09/81,183.347
30/10/81,192.458
30/11/81,200.892
31/12/81,195.58
29/01/82,193.369
26/02/82,183.389
31/03/82,182.399
30/04/82,190.406
31/05/82,184.098
30/06/82,181.792
30/07/82,178.554
31/08/82,200.536
30/09/82,203.196
29/10/82,225.851
30/11/82,234.64
31/12/82,238.888
31/01/83,248.474
28/02/83,253.785
31/03/83,262.619
29/04/83,283.293
31/05/83,278.964
30/06/83,289.822
29/07/83,280.481
31/08/83,286.262
30/09/83,290.035
31/10/83,286.821
30/11/83,293.048
30/12/83,291.501
31/01/84,288.315
29/02/84,276.421
30/03/84,281.595
30/04/84,284.581
31/05/84,268.699
29/06/84,274.478
31/07/84,272.413
31/08/84,302.067
28/09/84,302.595
31/10/84,304.195
30/11/84,301.281
31/12/84,308.921
31/01/85,333.786
28/02/85,337.785
29/03/85,338.745
30/04/85,338.042
31/05/85,359.024
28/06/85,364.338
31/07/85,363.296
30/08/85,360.048
30/09/85,348.707
31/10/85,364.583
29/11/85,389.965
31/12/85,410.105
31/01/86,412.709
28/02/86,443.997
31/03/86,468.801
30/04/86,462.301
30/05/86,485.082
30/06/86,491.419
31/07/86,465.208
29/08/86,499.603
30/09/86,457.133
31/10/86,483.078
28/11/86,494.433
31/12/86,481.976
30/01/87,545.985
27/02/87,565.593
31/03/87,580.841
30/04/87,575.593
29/05/87,578.843
30/06/87,608.817
31/07/87,637.762
31/08/87,662.893
30/09/87,648.76
30/10/87,511.075
30/11/87,467.875
31/12/87,500.821
29/01/88,522.273
29/02/88,544.14
31/03/88,525.935
29/04/88,530.765
31/05/88,535.331
30/06/88,560.25
29/07/88,558.518
31/08/88,539.784
30/09/88,562.85
31/10/88,580.103
30/11/88,571.162
30/12/88,580.518
31/01/89,624.69
28/02/89,605.958
31/03/89,619.615
28/04/89,653.282
31/05/89,678.503
30/06/89,675.979
31/07/89,737.954
31/08/89,749.128
29/09/89,747.547
31/10/89,730.628
30/11/89,745.749
29/12/89,762.584
31/01/90,713.133
28/02/90,723.758
30/03/90,740.92
30/04/90,725.864
31/05/90,793.009
29/06/90,790.122
31/07/90,788.972
31/08/90,716.853
28/09/90,683.662
31/10/90,681.623
30/11/90,726.455
31/12/90,746.708
31/01/91,782.388
28/02/91,836.52
29/03/91,856.964
30/04/91,860.373
31/05/91,896.179
28/06/91,855.168
31/07/91,895.261
30/08/91,917.013
30/09/91,901.496
31/10/91,917.089
29/11/91,880.074
31/12/91,980.63
31/01/92,964.318
28/02/92,975.39
31/03/92,957.436
30/04/92,985.481
29/05/92,989.539
30/06/92,974.462
31/07/92,1015.136
31/08/92,990.832
30/09/92,1001.632
30/10/92,1007.776
30/11/92,1041.304
31/12/92,1052.826
29/01/93,1062.116
26/02/93,1076.114
31/03/93,1098.308
30/04/93,1074.114
31/05/93,1101.624
30/06/93,1105.089
30/07/93,1103.94
31/08/93,1143.856
30/09/93,1132.651
29/10/93,1152.626
30/11/93,1144.907
31/12/93,1158.852
31/01/94,1201.082
28/02/94,1167.437
31/03/94,1117.015
29/04/94,1133.025
31/05/94,1152.004
30/06/94,1119.778
29/07/94,1157.778
31/08/94,1203.548
30/09/94,1178.293
31/10/94,1205.588
30/11/94,1164.663
30/12/94,1182.011
31/01/95,1214.883
28/02/95,1263.074
31/03/95,1297.222
28/04/95,1338.256
31/05/95,1390.833
30/06/95,1425.372
31/07/95,1474.114
31/08/95,1474.553
29/09/95,1541.034
31/10/95,1540.647
30/11/95,1608.724
29/12/95,1633.386
31/01/96,1692.017
29/02/96,1709.998
29/03/96,1727.687
30/04/96,1753.61
31/05/96,1800.809
28/06/96,1811.811
31/07/96,1732.479
30/08/96,1771.655
30/09/96,1871.283
31/10/96,1919.512
29/11/96,2064.995
31/12/96,2026.293
31/01/97,2165.497
28/02/97,2181.224
31/03/97,2084.009
30/04/97,2221.712
30/05/97,2347.995
30/06/97,2455.442
31/07/97,2650.06
29/08/97,2493.214
30/09/97,2623.869
31/10/97,2552.82
28/11/97,2676.92
31/12/97,2716.982
30/01/98,2752.48
27/02/98,2946.083
31/03/98,3099.36
30/04/98,3136.193
29/05/98,3073.75
30/06/98,3206.355
31/07/98,3175.11
31/08/98,2733.618
30/09/98,2913.732
30/10/98,3139.696
30/11/98,3353.374
31/12/98,3551.723
29/01/99,3705.311
26/02/99,3601.942
31/03/99,3751.828
30/04/99,3887.652
31/05/99,3797.28
30/06/99,4001.631
30/07/99,3872.025
31/08/99,3847.674
30/09/99,3733.527
29/10/99,3977.809
30/11/99,4063.205
31/12/99,4346.659
31/01/00,4113.942
29/02/00,4016.239
31/03/00,4417.244
28/04/00,4274.448
31/05/00,4161.501
30/06/00,4261.432
31/07/00,4185.351
31/08/00,4403.062
29/09/00,4163.637
31/10/00,4134.069
30/11/00,3807.643
29/12/00,3801.778
31/01/01,3940.799
28/02/01,3588.647
30/03/01,3359.872
30/04/01,3621.65
31/05/01,3643.445
29/06/01,3560.065
31/07/01,3526.865
31/08/01,3292.648
28/09/01,3040.927
31/10/01,3085.453
30/11/01,3323.252
31/12/01,3344.37
31/01/02,3297.208
28/02/02,3232.827
29/03/02,3353.375
30/04/02,3135.884
31/05/02,3112.559
28/06/02,2875.354
31/07/02,2668.65
30/08/02,2681.354
30/09/02,2378.786
31/10/02,2594.869
29/11/02,2751.065
31/12/02,2584.929
31/01/03,2522.505
28/02/03,2484.112
31/03/03,2507.246
30/04/03,2716.722
30/05/03,2862.49
30/06/03,2897.97
31/07/03,2951.784
29/08/03,3007.171
30/09/03,2972.457
31/10/03,3142.133
28/11/03,3172.555
31/12/03,3337.41
30/01/04,3397.874
27/02/04,3439.102
31/03/04,3384.481
30/04/04,3332.517
31/05/04,3376.846
30/06/04,3440.639
30/07/04,3323.49
31/08/04,3340.507
30/09/04,3377.187
29/10/04,3428.833
30/11/04,3569.833
31/12/04,3694.97
31/01/05,3603.494
28/02/05,3678.646
31/03/05,3619.894
29/04/05,3554.49
31/05/05,3670.69
30/06/05,3679.889
29/07/05,3818.157
31/08/05,3782.703
30/09/05,3815.117
31/10/05,3752.529
30/11/05,3904.158
30/12/05,3906.351
31/01/06,4012.973
28/02/06,4017.045
31/03/06,4068.566
28/04/06,4122.201
31/05/06,4000.222
30/06/06,4004.709
31/07/06,4018.081
31/08/06,4115.145
29/09/06,4219.909
31/10/06,4364.118
30/11/06,4450.719
29/12/06,4504.774
31/01/07,4586.413
28/02/07,4502.528
30/03/07,4551.226
30/04/07,4746.318
31/05/07,4912.532
29/06/07,4830.393
31/07/07,4680.877
31/08/07,4751.956
28/09/07,4932.33
31/10/07,5015.452
30/11/07,4803.743
31/12/07,4776.315
31/01/08,4486.439
29/02/08,4346.96
31/03/08,4330.946
30/04/08,4545.319
30/05/08,4617.845
30/06/08,4241.463
31/07/08,4192.954
29/08/08,4250.383
30/09/08,3860.514
31/10/08,3200.304
28/11/08,2964.17
31/12/08,3002.604
30/01/09,2757.992
27/02/09,2475.326
31/03/09,2687.434
30/04/09,2945.475
29/05/09,3107.532
30/06/09,3114.565
31/07/09,3349.331
31/08/09,3465.82
30/09/09,3600.257
30/10/09,3530.52
30/11/09,3740.563
31/12/09,3817.617
29/01/10,3683.695
26/02/10,3797.381
31/03/10,4024.789
30/04/10,4089.279
31/05/10,3759.572
30/06/10,3559.653
30/07/10,3808.436
31/08/10,3639.268
30/09/10,3970.138
29/10/10,4126.484
30/11/10,4131.084
31/12/10,4407.359
31/01/11,4513.031
28/02/11,4664.337
31/03/11,4669.889
29/04/11,4812.786
31/05/11,4760.617
30/06/11,4679.897
29/07/11,4588.744
31/08/11,4334.932
30/09/11,4023.147
31/10/11,4465.154
30/11/11,4452.91
30/12/11,4495.07
31/01/12,4706.759
29/02/12,4914.136
30/03/12,5071.5
30/04/12,5040.928
31/05/12,4731.22
29/06/12,4918.302
31/07/12,4984.978
31/08/12,5101.984
28/09/12,5232.081
31/10/12,5137.66
30/11/12,5171.124
31/12/12,5220.28
31/01/13,5496.521
28/02/13,5567.152
29/03/13,5776.561
30/04/13,5890.806
31/05/13,6014.938
28/06/13,5934.743
31/07/13,6246.996
30/08/13,6074.659
30/09/13,6275.865
31/10/13,6554.499
29/11/13,6741.446
31/12/13,6922.497
31/01/14,6687.485
28/02/14,7001.931
31/03/14,7050.019
30/04/14,7092.383
30/05/14,7261.646
30/06/14,7417.225
31/07/14,7312.88
29/08/14,7606.391
30/09/14,7487.563
31/10/14,7668.259
28/11/14,7871.617
31/12/14,7847.602
30/01/15,7626.069
27/02/15,8072.21
31/03/15,7955.684
30/04/15,8028.432
29/05/15,8135.42
30/06/15,7981.335
31/07/15,8140.837
31/08/15,7646.982
30/09/15,7444.467
30/10/15,8058.738
30/11/15,8086.848
31/12/15,7950.974
29/01/16,7528.367
29/02/16,7512.496
31/03/16,8027.008
29/04/16,8066.671
