"Date","Price","Open","High","Low","Change %"
"Oct 24, 2019","0.1276","0.1275","0.1276","0.1275","0.04%"
"Oct 23, 2019","0.1275","0.1275","0.1275","0.1275","0.00%"
"Oct 22, 2019","0.1275","0.1275","0.1275","0.1275","0.00%"
"Oct 21, 2019","0.1275","0.1275","0.1275","0.1275","0.00%"
"Oct 18, 2019","0.1275","0.1275","0.1275","0.1275","0.00%"
"Oct 17, 2019","0.1275","0.1275","0.1275","0.1275","0.00%"
"Oct 16, 2019","0.1275","0.1275","0.1275","0.1274","0.00%"
"Oct 15, 2019","0.1275","0.1275","0.1275","0.1274","0.00%"
"Oct 14, 2019","0.1275","0.1275","0.1275","0.1275","0.00%"
"Oct 11, 2019","0.1275","0.1275","0.1275","0.1275","0.00%"
"Oct 10, 2019","0.1275","0.1275","0.1275","0.1275","0.00%"
"Oct 09, 2019","0.1275","0.1275","0.1275","0.1275","0.00%"
"Oct 08, 2019","0.1275","0.1275","0.1275","0.1275","0.00%"
"Oct 07, 2019","0.1275","0.1276","0.1276","0.1275","-0.08%"
"Oct 04, 2019","0.1276","0.1275","0.1276","0.1275","0.08%"
"Oct 03, 2019","0.1275","0.1275","0.1275","0.1275","0.00%"
"Oct 02, 2019","0.1275","0.1275","0.1276","0.1275","0.00%"
"Oct 01, 2019","0.1275","0.1276","0.1276","0.1275","-0.08%"
"Sep 30, 2019","0.1276","0.1275","0.1276","0.1275","0.08%"
"Sep 27, 2019","0.1275","0.1277","0.1277","0.1275","-0.08%"
"Sep 26, 2019","0.1276","0.1276","0.1276","0.1275","0.00%"
"Sep 25, 2019","0.1276","0.1275","0.1276","0.1275","0.08%"
"Sep 24, 2019","0.1275","0.1277","0.1277","0.1275","-0.08%"
"Sep 23, 2019","0.1276","0.1276","0.1276","0.1275","0.00%"
"Sep 20, 2019","0.1276","0.1277","0.1277","0.1275","-0.08%"
"Sep 19, 2019","0.1277","0.1277","0.1278","0.1277","0.00%"
"Sep 18, 2019","0.1277","0.1278","0.1278","0.1277","-0.08%"
"Sep 17, 2019","0.1278","0.1279","0.1279","0.1278","-0.08%"
"Sep 16, 2019","0.1279","0.1279","0.1279","0.1277","0.00%"
"Sep 13, 2019","0.1279","0.1278","0.1279","0.1277","0.08%"
"Sep 12, 2019","0.1278","0.1276","0.1278","0.1276","0.16%"
"Sep 11, 2019","0.1276","0.1275","0.1276","0.1275","0.08%"
"Sep 10, 2019","0.1275","0.1277","0.1277","0.1275","-0.08%"
"Sep 09, 2019","0.1276","0.1276","0.1276","0.1275","0.08%"
"Sep 06, 2019","0.1275","0.1277","0.1277","0.1275","-0.08%"
"Sep 05, 2019","0.1276","0.1275","0.1276","0.1275","0.08%"
"Sep 04, 2019","0.1275","0.1275","0.1276","0.1275","0.00%"
"Sep 03, 2019","0.1275","0.1275","0.1275","0.1275","0.00%"
"Sep 02, 2019","0.1275","0.1275","0.1276","0.1275","0.00%"
"Aug 30, 2019","0.1275","0.1275","0.1276","0.1274","0.00%"
"Aug 29, 2019","0.1275","0.1275","0.1275","0.1275","0.00%"
"Aug 28, 2019","0.1275","0.1274","0.1275","0.1274","0.08%"
"Aug 27, 2019","0.1274","0.1275","0.1275","0.1274","-0.08%"
"Aug 26, 2019","0.1275","0.1275","0.1275","0.1274","0.00%"
"Aug 23, 2019","0.1275","0.1275","0.1276","0.1275","0.00%"
"Aug 22, 2019","0.1275","0.1275","0.1276","0.1275","0.00%"
"Aug 21, 2019","0.1275","0.1275","0.1275","0.1275","0.00%"
"Aug 20, 2019","0.1275","0.1275","0.1275","0.1275","0.00%"
"Aug 19, 2019","0.1275","0.1275","0.1275","0.1274","0.00%"
"Aug 16, 2019","0.1275","0.1275","0.1276","0.1275","0.00%"
"Aug 15, 2019","0.1275","0.1275","0.1277","0.1274","0.00%"
"Aug 14, 2019","0.1275","0.1274","0.1275","0.1274","0.08%"
"Aug 13, 2019","0.1274","0.1274","0.1275","0.1274","0.00%"
"Aug 12, 2019","0.1274","0.1275","0.1276","0.1274","-0.08%"
"Aug 09, 2019","0.1275","0.1275","0.1276","0.1275","0.00%"
"Aug 08, 2019","0.1275","0.1275","0.1276","0.1275","0.00%"
"Aug 07, 2019","0.1275","0.1276","0.1276","0.1275","-0.08%"
"Aug 06, 2019","0.1276","0.1274","0.1277","0.1274","0.16%"
"Aug 05, 2019","0.1274","0.1277","0.1278","0.1274","-0.23%"
"Aug 02, 2019","0.1277","0.1278","0.1279","0.1277","-0.08%"
"Aug 01, 2019","0.1278","0.1277","0.1278","0.1277","0.00%"
"Jul 31, 2019","0.1278","0.1278","0.1278","0.1278","0.00%"
"Jul 30, 2019","0.1278","0.1278","0.1279","0.1278","0.00%"
"Jul 29, 2019","0.1278","0.1279","0.1280","0.1278","-0.08%"
"Jul 26, 2019","0.1279","0.1279","0.1280","0.1279","0.00%"
"Jul 25, 2019","0.1279","0.1280","0.1280","0.1279","-0.08%"
"Jul 24, 2019","0.1280","0.1280","0.1280","0.1280","0.00%"
"Jul 23, 2019","0.1280","0.1280","0.1281","0.1280","0.00%"
"Jul 22, 2019","0.1280","0.1280","0.1282","0.1280","0.00%"
"Jul 19, 2019","0.1280","0.1280","0.1283","0.1280","0.08%"
"Jul 18, 2019","0.1279","0.1280","0.1280","0.1279","-0.08%"
"Jul 17, 2019","0.1280","0.1279","0.1281","0.1279","0.08%"
"Jul 16, 2019","0.1279","0.1278","0.1280","0.1278","0.08%"
"Jul 15, 2019","0.1278","0.1278","0.1278","0.1277","0.00%"
"Jul 12, 2019","0.1278","0.1278","0.1279","0.1278","0.00%"
"Jul 11, 2019","0.1278","0.1279","0.1280","0.1278","-0.08%"
"Jul 10, 2019","0.1279","0.1281","0.1281","0.1279","-0.16%"
"Jul 09, 2019","0.1281","0.1282","0.1282","0.1280","-0.08%"
"Jul 08, 2019","0.1282","0.1283","0.1283","0.1282","-0.08%"
"Jul 05, 2019","0.1283","0.1284","0.1284","0.1282","-0.08%"
"Jul 04, 2019","0.1284","0.1282","0.1285","0.1282","0.16%"
"Jul 03, 2019","0.1282","0.1282","0.1283","0.1282","0.00%"
"Jul 02, 2019","0.1282","0.1280","0.1282","0.1279","0.16%"
"Jul 01, 2019","0.1280","0.1280","0.1281","0.1280","0.00%"
"Jun 28, 2019","0.1280","0.1280","0.1281","0.1279","0.00%"
"Jun 27, 2019","0.1280","0.1281","0.1281","0.1279","-0.08%"
"Jun 26, 2019","0.1281","0.1280","0.1281","0.1280","0.08%"
"Jun 25, 2019","0.1280","0.1280","0.1281","0.1280","0.00%"
"Jun 24, 2019","0.1280","0.1280","0.1281","0.1279","0.00%"
"Jun 21, 2019","0.1280","0.1280","0.1282","0.1280","0.00%"
"Jun 20, 2019","0.1280","0.1278","0.1280","0.1278","0.16%"
"Jun 19, 2019","0.1278","0.1277","0.1278","0.1277","0.08%"
"Jun 18, 2019","0.1277","0.1277","0.1277","0.1276","0.00%"
"Jun 17, 2019","0.1277","0.1278","0.1278","0.1276","-0.08%"
"Jun 14, 2019","0.1278","0.1278","0.1278","0.1278","0.08%"
"Jun 13, 2019","0.1277","0.1278","0.1279","0.1277","-0.08%"
"Jun 12, 2019","0.1278","0.1276","0.1279","0.1276","0.16%"
"Jun 11, 2019","0.1276","0.1275","0.1276","0.1275","0.08%"
"Jun 10, 2019","0.1275","0.1275","0.1275","0.1275","0.00%"
"Jun 07, 2019","0.1275","0.1275","0.1276","0.1275","0.00%"
"Jun 06, 2019","0.1275","0.1275","0.1276","0.1275","0.00%"
"Jun 05, 2019","0.1275","0.1275","0.1276","0.1275","0.00%"
"Jun 04, 2019","0.1275","0.1276","0.1276","0.1275","-0.08%"
"Jun 03, 2019","0.1276","0.1276","0.1277","0.1275","0.00%"
"May 31, 2019","0.1276","0.1274","0.1276","0.1274","0.16%"
"May 30, 2019","0.1274","0.1274","0.1274","0.1274","0.00%"
"May 29, 2019","0.1274","0.1274","0.1274","0.1274","0.00%"
"May 28, 2019","0.1274","0.1274","0.1274","0.1274","0.00%"
"May 27, 2019","0.1274","0.1274","0.1274","0.1274","0.00%"
"May 24, 2019","0.1274","0.1274","0.1274","0.1274","0.00%"
"May 23, 2019","0.1274","0.1274","0.1274","0.1274","0.00%"
"May 22, 2019","0.1274","0.1274","0.1274","0.1274","0.00%"
"May 21, 2019","0.1274","0.1274","0.1274","0.1274","0.00%"
"May 20, 2019","0.1274","0.1274","0.1274","0.1274","0.00%"
"May 17, 2019","0.1274","0.1274","0.1274","0.1274","0.00%"
"May 16, 2019","0.1274","0.1274","0.1274","0.1274","0.00%"
"May 15, 2019","0.1274","0.1274","0.1274","0.1274","0.00%"
"May 14, 2019","0.1274","0.1274","0.1274","0.1274","0.00%"
"May 13, 2019","0.1274","0.1274","0.1274","0.1274","0.00%"
"May 10, 2019","0.1274","0.1274","0.1274","0.1274","0.00%"
"May 09, 2019","0.1274","0.1274","0.1274","0.1274","0.00%"
"May 08, 2019","0.1274","0.1274","0.1274","0.1274","0.00%"
"May 07, 2019","0.1274","0.1275","0.1275","0.1274","-0.08%"
"May 06, 2019","0.1275","0.1275","0.1275","0.1274","0.00%"
"May 03, 2019","0.1275","0.1275","0.1275","0.1275","0.00%"
"May 02, 2019","0.1275","0.1275","0.1275","0.1275","0.00%"
"May 01, 2019","0.1275","0.1275","0.1275","0.1275","0.00%"
"Apr 30, 2019","0.1275","0.1275","0.1275","0.1274","0.00%"
"Apr 29, 2019","0.1275","0.1275","0.1275","0.1275","0.00%"
"Apr 26, 2019","0.1275","0.1275","0.1275","0.1275","0.00%"
"Apr 25, 2019","0.1275","0.1275","0.1275","0.1275","0.00%"
"Apr 24, 2019","0.1275","0.1275","0.1276","0.1275","0.00%"
"Apr 23, 2019","0.1275","0.1275","0.1275","0.1274","0.00%"
"Apr 22, 2019","0.1275","0.1275","0.1275","0.1275","0.00%"
"Apr 19, 2019","0.1275","0.1274","0.1275","0.1274","0.00%"
"Apr 18, 2019","0.1275","0.1275","0.1275","0.1274","0.00%"
"Apr 17, 2019","0.1275","0.1275","0.1275","0.1275","0.00%"
"Apr 16, 2019","0.1275","0.1275","0.1276","0.1275","-0.08%"
"Apr 15, 2019","0.1276","0.1275","0.1276","0.1275","0.08%"
"Apr 12, 2019","0.1275","0.1275","0.1276","0.1274","0.00%"
"Apr 11, 2019","0.1275","0.1276","0.1276","0.1275","-0.08%"
"Apr 10, 2019","0.1276","0.1275","0.1277","0.1275","0.08%"
"Apr 09, 2019","0.1275","0.1274","0.1275","0.1274","0.08%"
"Apr 08, 2019","0.1274","0.1274","0.1275","0.1274","0.00%"
"Apr 05, 2019","0.1274","0.1274","0.1274","0.1274","0.00%"
"Apr 04, 2019","0.1274","0.1274","0.1274","0.1274","0.00%"
