"Date","Price","Open","High","Low","Change %"
"Oct 24, 2019","1.2825","1.2921","1.2950","1.2789","-0.74%"
"Oct 23, 2019","1.2921","1.2884","1.2922","1.2842","0.37%"
"Oct 22, 2019","1.2873","1.2958","1.3000","1.2861","-0.67%"
"Oct 21, 2019","1.2960","1.2926","1.3014","1.2875","-0.10%"
"Oct 18, 2019","1.2973","1.2890","1.2985","1.2837","0.64%"
"Oct 17, 2019","1.2890","1.2832","1.2990","1.2750","0.45%"
"Oct 16, 2019","1.2832","1.2787","1.2877","1.2656","0.34%"
"Oct 15, 2019","1.2788","1.2609","1.2800","1.2602","1.43%"
"Oct 14, 2019","1.2608","1.2625","1.2655","1.2515","-0.32%"
"Oct 11, 2019","1.2649","1.2441","1.2707","1.2407","1.66%"
"Oct 10, 2019","1.2443","1.2207","1.2470","1.2205","1.94%"
"Oct 09, 2019","1.2206","1.2218","1.2292","1.2198","-0.11%"
"Oct 08, 2019","1.2219","1.2290","1.2304","1.2195","-0.59%"
"Oct 07, 2019","1.2292","1.2327","1.2338","1.2287","-0.33%"
"Oct 04, 2019","1.2333","1.2332","1.2357","1.2275","0.03%"
"Oct 03, 2019","1.2329","1.2306","1.2414","1.2266","0.22%"
"Oct 02, 2019","1.2302","1.2307","1.2325","1.2227","-0.01%"
"Oct 01, 2019","1.2303","1.2287","1.2342","1.2207","0.11%"
"Sep 30, 2019","1.2289","1.2290","1.2349","1.2275","0.00%"
"Sep 27, 2019","1.2289","1.2321","1.2337","1.2270","-0.28%"
"Sep 26, 2019","1.2323","1.2355","1.2381","1.2302","-0.23%"
"Sep 25, 2019","1.2351","1.2484","1.2500","1.2348","-1.11%"
"Sep 24, 2019","1.2490","1.2429","1.2504","1.2414","0.47%"
"Sep 23, 2019","1.2431","1.2469","1.2492","1.2413","-0.38%"
"Sep 20, 2019","1.2479","1.2524","1.2583","1.2459","-0.38%"
"Sep 19, 2019","1.2526","1.2472","1.2561","1.2438","0.43%"
"Sep 18, 2019","1.2472","1.2504","1.2516","1.2441","-0.24%"
